time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2022-04-17T00:00:00Z,1,1,,1.226,1.226,,1.242,1.242,,1.61,1.61,,1.611,1.611,
2022-04-18T00:00:00Z,1.9,1.9,,2.494,2.494,,2.756,2.756,,3.049,3.049,,3.162,3.162,
2022-04-19T00:00:00Z,3.7,3.7,,5.16,5.16,,5.95,5.95,,6.653,6.653,,7.227,7.227,
2022-04-20T00:00:00Z,0.4,0.4,,0.232,0.232,,0.232,0.232,,0.487,0.487,,0.487,0.487,
2022-04-21T00:00:00Z,0.4,0.4,,0.133,0.133,,0.133,0.133,,0.289,0.289,,0.289,0.289,
2022-04-22T00:00:00Z,0.3,0.3,,0.042,0.042,,0.042,0.042,,0.177,0.177,,0.177,0.177,
2022-04-23T00:00:00Z,0.2,0.2,,0.002,0.002,,0.002,0.002,,0.021,0.021,,0.021,0.021,
2022-04-24T00:00:00Z,0.2,0.2,,0.011,0.011,,0.011,0.011,,0.04,0.04,,0.04,0.04,
2022-04-25T00:00:00Z,0.2,0.2,,0.005,0.005,,0.005,0.005,,0.026,0.026,,0.026,0.026,
2022-04-26T00:00:00Z,0.5,0.5,,0.189,0.189,,0.189,0.189,,0.274,0.274,,0.274,0.274,
2022-04-27T00:00:00Z,2,2,,2.097,2.097,,2.671,2.671,,2.528,2.528,,3.102,3.102,
2022-04-28T00:00:00Z,3.4,3.4,,4.423,4.423,,5.377,5.377,,5.275,5.275,,5.957,5.957,
2022-04-29T00:00:00Z,1.5,1.5,,1.799,1.799,,1.8,1.8,,2.535,2.535,,2.535,2.535,
2022-04-30T00:00:00Z,1,1,,0.875,0.875,,0.875,0.875,,1.207,1.207,,1.207,1.207,
2022-05-01T00:00:00Z,1.1,1.1,,1.152,1.152,,1.152,1.152,,1.629,1.629,,1.629,1.629,
2022-05-02T00:00:00Z,0.5,0.5,,0.255,0.255,,0.255,0.255,,0.466,0.466,,0.466,0.466,
