Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/7/2022,AQS,490350015,1,0.067,ppm,90,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/8/2022,AQS,490350015,1,0.059,ppm,64,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/9/2022,AQS,490350015,1,0.071,ppm,101,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/10/2022,AQS,490350015,1,0.065,ppm,84,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/11/2022,AQS,490350015,1,0.052,ppm,48,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/12/2022,AQS,490350015,1,0.056,ppm,54,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/13/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/14/2022,AQS,490350015,1,0.049,ppm,45,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/15/2022,AQS,490350015,1,0.061,ppm,71,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/16/2022,AQS,490350015,1,0.059,ppm,64,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/17/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/18/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/19/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/20/2022,AQS,490350015,1,0.051,ppm,47,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/21/2022,AQS,490350015,1,0.064,ppm,80,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/22/2022,AQS,490350015,1,0.058,ppm,61,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/23/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/24/2022,AQS,490350015,1,0.058,ppm,61,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/25/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/26/2022,AQS,490350015,1,0.052,ppm,48,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/27/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/28/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/29/2022,AQS,490350015,1,0.051,ppm,47,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/30/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/1/2022,AQS,490350015,1,0.048,ppm,44,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/2/2022,AQS,490350015,1,0.044,ppm,41,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/3/2022,AQS,490350015,1,0.048,ppm,44,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/4/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/5/2022,AQS,490350015,1,0.049,ppm,45,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/6/2022,AQS,490350015,1,0.05,ppm,46,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/7/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/8/2022,AQS,490350015,1,0.056,ppm,54,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/9/2022,AQS,490350015,1,0.059,ppm,64,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/10/2022,AQS,490350015,1,0.064,ppm,80,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/11/2022,AQS,490350015,1,0.073,ppm,108,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/12/2022,AQS,490350015,1,0.06,ppm,67,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/13/2022,AQS,490350015,1,0.059,ppm,64,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/14/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/15/2022,AQS,490350015,1,0.056,ppm,54,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/16/2022,AQS,490350015,1,0.064,ppm,80,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/17/2022,AQS,490350015,1,0.069,ppm,97,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/18/2022,AQS,490350015,1,0.067,ppm,90,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/19/2022,AQS,490350015,1,0.065,ppm,84,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/20/2022,AQS,490350015,1,0.075,ppm,115,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/21/2022,AQS,490350015,1,0.069,ppm,97,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/22/2022,AQS,490350015,1,0.065,ppm,84,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/23/2022,AQS,490350015,1,0.068,ppm,93,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/24/2022,AQS,490350015,1,0.061,ppm,71,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/25/2022,AQS,490350015,1,0.067,ppm,90,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/26/2022,AQS,490350015,1,0.067,ppm,90,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/27/2022,AQS,490350015,1,0.062,ppm,74,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/28/2022,AQS,490350015,1,0.061,ppm,71,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/29/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/30/2022,AQS,490350015,1,0.062,ppm,74,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
7/31/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
8/1/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
8/2/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
