Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/7/2023,AQS,490353015,3,14,ug/m3 SC,13,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/8/2023,AQS,490353015,3,9,ug/m3 SC,8,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/9/2023,AQS,490353015,3,10,ug/m3 SC,9,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/10/2023,AQS,490353015,3,4,ug/m3 SC,4,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/11/2023,AQS,490353015,3,11,ug/m3 SC,10,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/12/2023,AQS,490353015,3,31,ug/m3 SC,29,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/13/2023,AQS,490353015,3,37,ug/m3 SC,34,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/14/2023,AQS,490353015,3,19,ug/m3 SC,18,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/15/2023,AQS,490353015,3,3,ug/m3 SC,3,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/16/2023,AQS,490353015,3,9,ug/m3 SC,8,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/17/2023,AQS,490353015,3,9,ug/m3 SC,8,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/18/2023,AQS,490353015,3,9,ug/m3 SC,8,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/19/2023,AQS,490353015,3,17,ug/m3 SC,16,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
